timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1723912200,Aug 17 2024 - 4:30pm,complete,N/A,Genoa,Inter Milan,Ermanno Feliciani,1,0.00,0.00,1.27,2.07,2,2,4,2,1,1,"20,90'5","30,82",1,4,1,0,2,0,0,1,1,1,14,18,8,9,5,6,16,16,32,68,0.00,0.00,1.56,1.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.50,3.80,1.61,1.26,1.85,3.02,5.60,1.95,1.80,Stadio Comunale Luigi Ferraris (Genova)
1723912200,Aug 17 2024 - 4:30pm,complete,N/A,Parma,Fiorentina,Giovanni Ayroldi,1,0.00,0.00,1.07,1.29,1,1,2,1,1,0,"22","75",4,9,3,0,1,1,1,2,1,1,15,16,7,8,4,3,15,9,39,61,0.00,0.00,1.45,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.20,2.30,1.25,1.88,3.02,5.55,1.67,2.10,Stadio Ennio Tardini (Parma)
1723920300,Aug 17 2024 - 6:45pm,complete,N/A,Empoli,Monza,Michael Fabbri,1,0.00,0.00,0.57,0.50,0,0,0,0,0,0,"","",7,3,0,0,2,0,0,0,0,2,12,7,3,2,3,2,16,19,39,61,0.00,0.00,0.96,0.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.20,2.50,1.33,2.05,3.50,6.50,1.80,1.95,Stadio Carlo Castellani – Computer Gross Arena (Empoli)
1723920300,Aug 17 2024 - 6:45pm,complete,N/A,AC Milan,Torino,Fabio Maresca,1,0.00,0.00,1.80,1.20,2,2,4,1,0,1,"89,90'5","30,68",9,2,2,0,4,0,0,2,2,2,27,8,7,4,10,3,10,7,56,44,0.00,0.00,2.22,0.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,3.80,6.50,1.27,1.85,3.12,5.85,1.80,1.95,Stadio Giuseppe Meazza (Milano)
1723998600,Aug 18 2024 - 4:30pm,complete,N/A,Bologna,Udinese,N/A,1,0.00,0.00,2.13,1.21,1,1,2,0,0,0,"57","68",9,5,0,0,4,0,0,0,1,3,23,6,8,3,8,1,17,17,74,26,0.00,0.00,2.04,0.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.77,3.38,4.17,1.41,1.96,4.25,8.30,2.05,1.70,Stadio Renato Dall'Ara (Bologna)
1723998600,Aug 18 2024 - 4:30pm,complete,N/A,Hellas Verona,Napoli,Matteo Marchetti,1,0.00,0.00,0.93,1.93,3,0,3,0,0,0,"50,75,90'4","",1,5,4,0,1,0,2,2,0,1,10,15,5,5,5,8,15,13,33,67,0.00,0.00,1.14,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.82,3.87,1.58,1.27,1.93,3.12,5.75,1.75,2.00,Stadio Marcantonio Bentegodi (Verona)
1724006700,Aug 18 2024 - 6:45pm,complete,N/A,Cagliari,Roma,Livio Marinelli,1,0.00,0.00,1.07,1.29,0,0,0,0,0,0,"","",5,3,2,0,0,0,0,2,0,0,14,16,3,4,8,7,15,7,43,57,0.00,0.00,1.16,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.34,3.48,1.72,1.28,1.85,3.18,5.95,1.75,2.00,Unipol Domus (Cagliari)
1724006700,Aug 18 2024 - 6:45pm,complete,N/A,Lazio,Venezia,Paride Tremolada,1,0.00,0.00,1.86,0.40,3,1,4,3,2,1,"11,44,81","3",6,3,1,0,2,0,0,1,1,1,14,12,7,3,5,6,14,11,67,33,0.00,0.00,1.67,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.38,4.09,7.62,1.25,1.88,2.96,5.45,1.95,1.80,Stadio Olimpico (Roma)
1724085000,Aug 19 2024 - 4:30pm,complete,28719,Lecce,Atalanta,Davide Massa,1,0.00,0.00,1.00,2.20,0,4,4,2,0,2,"","35,45,57,66",5,3,0,0,2,0,0,0,0,2,22,13,5,7,13,4,10,24,47,53,0.00,0.00,1.74,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.10,3.70,1.86,1.27,1.91,3.12,5.85,1.80,1.95,Stadio Ettore Giardiniero - Via del Mare (Lecce)
1724093100,Aug 19 2024 - 6:45pm,complete,N/A,Juventus,Como,Matteo Marcenaro,1,0.00,0.00,1.87,0.67,3,0,3,2,2,0,"23,45'1,90'1","",3,0,2,0,4,0,0,2,2,2,14,4,8,0,6,2,11,12,58,42,0.00,0.00,1.66,0.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.35,5.00,9.00,1.28,1.81,3.20,6.00,2.20,1.62,Allianz Stadium (Torino)
